
subjno	subjini	practice	trial	Relation	object	corr_resp	subj_resp	GradedRes	rt
61	wzh	1	1	nonobject	3	nonobject	nil	99	4992.876
61	wzh	1	2	both	2	object	nonobject	0	417.500
61	wzh	1	3	unrelated	2	object	object	1	1085.395
61	wzh	1	4	context	2	object	object	1	734.717
61	wzh	1	5	nonobject	2	nonobject	nonobject	1	1168.945
61	wzh	1	6	context	1	object	object	1	701.387
61	wzh	1	7	unrelated	1	object	object	1	768.260
61	wzh	1	8	nonobject	1	nonobject	nonobject	1	718.037
61	wzh	1	9	both	1	object	object	1	985.251
61	wzh	1	10	semantic	2	object	object	1	1202.330
61	wzh	1	11	nonobject	4	nonobject	nonobject	1	851.666
61	wzh	1	12	semantic	1	object	object	1	667.982
61	wzh	2	1	semantic	56	object	nonobject	0	768.177
61	wzh	2	2	nonobject	1	nonobject	object	0	868.364
61	wzh	2	3	context	72	object	object	1	834.967
61	wzh	2	4	semantic	13	object	object	1	784.864
61	wzh	2	5	context	71	object	object	1	1402.717
61	wzh	2	6	semantic	24	object	object	1	768.144
61	wzh	2	7	nonobject	24	nonobject	nonobject	1	1135.542
61	wzh	2	8	nonobject	28	nonobject	object	0	1386.011
61	wzh	2	9	unrelated	9	object	object	1	1519.576
61	wzh	2	10	context	32	object	object	1	1870.278
61	wzh	2	11	context	59	object	nonobject	0	1035.341
61	wzh	2	12	both	16	object	object	1	1753.385
61	wzh	2	13	unrelated	57	object	object	1	1319.226
61	wzh	2	14	nonobject	12	nonobject	nonobject	1	1352.581
61	wzh	2	15	nonobject	16	nonobject	nonobject	1	868.408
61	wzh	2	16	both	50	object	object	1	1669.860
61	wzh	2	17	both	3	object	object	1	1419.423
61	wzh	2	18	unrelated	69	object	object	1	985.188
61	wzh	2	19	nonobject	39	nonobject	object	0	1185.734
61	wzh	2	20	both	45	object	object	1	1052.050
61	wzh	2	21	semantic	73	object	object	1	1519.610
61	wzh	2	22	both	64	object	nonobject	0	1502.903
61	wzh	2	23	semantic	61	object	nonobject	0	1319.286
61	wzh	2	24	nonobject	8	nonobject	nonobject	1	1536.305
61	wzh	2	25	nonobject	2	nonobject	object	0	2137.452
61	wzh	2	26	semantic	52	object	object	1	1219.033
61	wzh	2	27	nonobject	6	nonobject	object	0	1352.624
61	wzh	2	28	unrelated	70	object	object	1	1619.796
